Experiment,Method,Run,mean,stdev
original,AnnSel,en,-2.140625,3.268959400509256
original,AnnSel,fr,-1.2235331632653061,4.079887829093687
original,AnnSel,de,-6.221779336734694,4.298616773363267
original,AnnSel,es,0.0,0.0
original,AnnSel,zh,-8.97329400510204,3.582877631991115
original,AnnSel,ja,-10.68180006377551,3.9529692534331335
original,AnnSel,ko,-11.869738520408163,3.793475130715953
original,FreqSel,en,-2.140625,3.268959400509256
original,FreqSel,fr,-1.2235331632653061,4.079887829093687
original,FreqSel,de,-6.221779336734694,4.298616773363267
original,FreqSel,es,0.0,0.0
original,FreqSel,zh,-8.97329400510204,3.582877631991115
original,FreqSel,ja,-10.68180006377551,3.9529692534331335
original,FreqSel,ko,-11.869738520408163,3.793475130715953
original,ValSel,en,-2.140625,3.268959400509256
original,ValSel,fr,-1.2235331632653061,4.079887829093687
original,ValSel,de,-6.221779336734694,4.298616773363267
original,ValSel,es,0.0,0.0
original,ValSel,zh,-8.97329400510204,3.582877631991115
original,ValSel,ja,-10.68180006377551,3.9529692534331335
original,ValSel,ko,-11.869738520408163,3.793475130715953
distractor ablation,AnnSel,en,-2.475127551020408,3.0514507149095125
distractor ablation,AnnSel,fr,-2.109375,3.6194474282532654
distractor ablation,AnnSel,de,-6.368941326530612,4.203023278871207
distractor ablation,AnnSel,es,0.0,0.0
distractor ablation,AnnSel,zh,-9.069555165816327,3.335922535619763
distractor ablation,AnnSel,ja,-10.936902104591837,3.890802629483469
distractor ablation,AnnSel,ko,-11.765047034438776,3.525261128701541
distractor ablation,FreqSel,en,-2.4151785714285716,3.0334694685710253
distractor ablation,FreqSel,fr,-2.342155612244898,3.626794715608978
distractor ablation,FreqSel,de,-6.349489795918367,4.234071183842244
distractor ablation,FreqSel,es,0.0,0.0
distractor ablation,FreqSel,zh,-9.106505102040817,3.278460052035996
distractor ablation,FreqSel,ja,-10.957389987244898,3.836896086960989
distractor ablation,FreqSel,ko,-11.77670599489796,3.5311204408904255
distractor ablation,ValSel,en,-2.3252551020408165,3.0561613761273247
distractor ablation,ValSel,fr,-2.089923469387755,3.6167288807592057
distractor ablation,ValSel,de,-6.233099489795919,4.186942589572494
distractor ablation,ValSel,es,0.0,0.0
distractor ablation,ValSel,zh,-9.125876913265307,3.292292393572053
distractor ablation,ValSel,ja,-11.06525031887755,3.9437300740182293
distractor ablation,ValSel,ko,-12.009215062978317,3.5428734700974123
ablation,AnnSel,en,-2.521045918367347,3.145934312143751
ablation,AnnSel,fr,-2.1699617346938775,3.7617863164196494
ablation,AnnSel,de,-6.641262755102041,4.347905399453094
ablation,AnnSel,es,0.0,0.0
ablation,AnnSel,zh,-9.004823022959183,3.4581399612803123
ablation,AnnSel,ja,-10.987703284438776,4.0491366769909165
ablation,AnnSel,ko,-11.865667849170919,3.63699629056479
ablation,FreqSel,en,-2.6371173469387754,3.272617303388566
ablation,FreqSel,fr,-2.544642857142857,3.9318939186314696
ablation,FreqSel,de,-6.665178571428571,4.526146922057607
ablation,FreqSel,es,0.0,0.0
ablation,FreqSel,zh,-8.438536352040817,3.548697821603456
ablation,FreqSel,ja,-10.28938137755102,4.107914420372837
ablation,FreqSel,ko,-11.935566804846939,3.869763072043912
ablation,ValSel,en,-2.516900510204082,3.2877043428985777
ablation,ValSel,fr,-2.372448979591837,3.9754898871372957
ablation,ValSel,de,-6.720025510204081,4.614742295678935
ablation,ValSel,es,0.0,0.0
ablation,ValSel,zh,-8.42562181122449,3.609996827570442
ablation,ValSel,ja,-10.181919642857142,4.089048549138302
ablation,ValSel,ko,-11.881975446428571,3.8499314907167097
distractor one-layer direction ablation,AnnSel,en,-2.1403061224489797,3.2759061323238767
